product_name,category,price,offer,allergens,diet_labels,stock_status,customer_rating,Keto,Gluten-Free,Low Sugar,Vegan,None,Eggs,Milk,Nuts,Wheat,Soy,No-Allergens,rating_category,category_encoded,offer_encoded,stock_status_encoded,rating_encoded
Product_0,Seafood,20.88,10% off,No-Allergens,None,In Stock,4.0,0,0,0,0,1,0,0,0,0,0,1,Good,8,1,0,2
Product_1,Dairy,3.37,Clearance,Eggs,"Gluten-Free, Vegan",In Stock,3.3,0,1,0,1,0,1,0,0,0,0,0,Average,2,3,0,0
Product_2,Meat,22.92,$2 off,"Eggs, None",None,Out of Stock,2.7,0,0,0,0,1,1,0,0,0,0,0,Poor,4,0,2,3
Product_3,Frozen Foods,14.15,No-Offer,No-Allergens,None,In Stock,4.0,0,0,0,0,1,0,0,0,0,0,1,Good,3,4,0,2
Product_4,Beverages,13.66,10% off,"None, Milk","Vegan, Keto",In Stock,3.1,1,0,0,1,0,0,1,0,0,0,0,Average,1,1,0,0
Product_5,Meat,14.68,10% off,No-Allergens,None,In Stock,3.5,0,0,0,0,1,0,0,0,0,0,1,Average,4,1,0,0
Product_6,Dairy,10.19,$2 off,No-Allergens,Gluten-Free,In Stock,4.1,0,1,0,0,0,0,0,0,0,0,1,Good,2,0,0,2
Product_7,Meat,9.27,$2 off,No-Allergens,None,Low Stock,3.0,0,0,0,0,1,0,0,0,0,0,1,Poor,4,0,1,3
Product_8,Dairy,4.91,$2 off,"Milk, Eggs",None,In Stock,4.3,0,0,0,0,1,1,1,0,0,0,0,Very Good,2,0,0,4
Product_9,Bakery,13.29,$2 off,No-Allergens,None,Low Stock,4.4,0,0,0,0,1,0,0,0,0,0,1,Very Good,0,0,1,4
Product_10,Produce,10.46,No-Offer,Nuts,Gluten-Free,Low Stock,2.9,0,1,0,0,0,0,0,1,0,0,0,Poor,7,4,1,3
Product_11,Snacks,10.1,10% off,No-Allergens,Vegan,Out of Stock,4.3,0,0,0,1,0,0,0,0,0,0,1,Very Good,9,1,2,4
Product_12,Dairy,3.74,10% off,Wheat,None,In Stock,2.9,0,0,0,0,1,0,0,0,1,0,0,Poor,2,1,0,3
Product_13,Bakery,13.66,$2 off,No-Allergens,"None, Gluten-Free",In Stock,3.9,0,1,0,0,1,0,0,0,0,0,1,Good,0,0,0,2
Product_14,Seafood,22.04,10% off,"Milk, Wheat",None,In Stock,2.9,0,0,0,0,1,0,1,0,1,0,0,Poor,8,1,0,3
Product_15,Pantry,5.37,No-Offer,No-Allergens,"Gluten-Free, Keto",In Stock,2.5,1,1,0,0,0,0,0,0,0,0,1,Poor,5,4,0,3
Product_16,Beverages,1.86,10% off,Nuts,None,In Stock,4.3,0,0,0,0,1,0,0,1,0,0,0,Very Good,1,1,0,4
Product_17,Meat,18.28,Buy 1 Get 1,"Wheat, Eggs",None,In Stock,4.6,0,0,0,0,1,1,0,0,1,0,0,Very Good,4,2,0,4
Product_18,Beverages,9.36,Buy 1 Get 1,No-Allergens,None,In Stock,3.0,0,0,0,0,1,0,0,0,0,0,1,Poor,1,2,0,3
